  0:     0   S0(e=127, idx=127) | S1(e=126, idx= 63) | S2(e=124, idx= 31) | S3(e=120, idx= 15) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
  1:     1   S0(e=127, idx=127) | S1(e=126, idx= 63) | S2(e=124, idx= 31) | S3(e=120, idx= 15) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
  2:     2   S0(e=127, idx=127) | S1(e=126, idx= 63) | S2(e=124, idx= 31) | S3(e=120, idx= 15) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
  3:     3   S0(e=127, idx=127) | S1(e=126, idx= 63) | S2(e=124, idx= 31) | S3(e=120, idx= 15) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
  4:     4   S0(e= 63, idx=126) | S1(e=126, idx= 63) | S2(e=124, idx= 31) | S3(e=120, idx= 15) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
  5:     5   S0(e= 63, idx=126) | S1(e=126, idx= 63) | S2(e=124, idx= 31) | S3(e=120, idx= 15) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
  6:     6   S0(e= 63, idx=126) | S1(e=126, idx= 63) | S2(e=124, idx= 31) | S3(e=120, idx= 15) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
  7:     7   S0(e= 63, idx=126) | S1(e=126, idx= 63) | S2(e=124, idx= 31) | S3(e=120, idx= 15) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
  8:     8   S0(e= 95, idx=125) | S1(e= 62, idx= 62) | S2(e=124, idx= 31) | S3(e=120, idx= 15) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
  9:     9   S0(e= 95, idx=125) | S1(e= 62, idx= 62) | S2(e=124, idx= 31) | S3(e=120, idx= 15) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 10:    10   S0(e= 95, idx=125) | S1(e= 62, idx= 62) | S2(e=124, idx= 31) | S3(e=120, idx= 15) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 11:    11   S0(e= 95, idx=125) | S1(e= 62, idx= 62) | S2(e=124, idx= 31) | S3(e=120, idx= 15) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 12:    12   S0(e= 31, idx=124) | S1(e= 62, idx= 62) | S2(e=124, idx= 31) | S3(e=120, idx= 15) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 13:    13   S0(e= 31, idx=124) | S1(e= 62, idx= 62) | S2(e=124, idx= 31) | S3(e=120, idx= 15) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 14:    14   S0(e= 31, idx=124) | S1(e= 62, idx= 62) | S2(e=124, idx= 31) | S3(e=120, idx= 15) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 15:    15   S0(e= 31, idx=124) | S1(e= 62, idx= 62) | S2(e=124, idx= 31) | S3(e=120, idx= 15) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
