  0:  2429   (zeta^1 = 17, pos=64)
  1:  2845   (zeta^1 = 17, pos=64)
  2:   425   (zeta^1 = 17, pos=64)
  3:   795   (zeta^1 = 17, pos=64)
  4:  1865   (zeta^65 = 2761, pos=65)
  5:  1356   (zeta^65 = 2761, pos=65)
  6:   624   (zeta^65 = 2761, pos=65)
  7:    31   (zeta^65 = 2761, pos=65)
  8:  2483   (zeta^33 = 583, pos=66)
  9:  2197   (zeta^33 = 583, pos=66)
 10:  2725   (zeta^33 = 583, pos=66)
 11:  2668   (zeta^33 = 583, pos=66)
 12:  2707   (zeta^97 = 2649, pos=67)
 13:   517   (zeta^97 = 2649, pos=67)
 14:  1488   (zeta^97 = 2649, pos=67)
 15:  2194   (zeta^97 = 2649, pos=67)
 16:  1971   (zeta^17 = 1637, pos=68)
 17:   803   (zeta^17 = 1637, pos=68)
 18:   922   (zeta^17 = 1637, pos=68)
 19:   231   (zeta^17 = 1637, pos=68)
 20:  2319   (zeta^81 = 723, pos=69)
 21:   613   (zeta^81 = 723, pos=69)
 22:  1075   (zeta^81 = 723, pos=69)
 23:   606   (zeta^81 = 723, pos=69)
 24:   306   (zeta^49 = 2288, pos=70)
 25:  3143   (zeta^49 = 2288, pos=70)
 26:  1380   (zeta^49 = 2288, pos=70)
 27:  2718   (zeta^49 = 2288, pos=70)
 28:  1155   (zeta^113 = 1100, pos=71)
 29:   531   (zeta^113 = 1100, pos=71)
 30:   818   (zeta^113 = 1100, pos=71)
 31:  1586   (zeta^113 = 1100, pos=71)
 32:  2874   (zeta^9 = 1409, pos=72)
 33:   155   (zeta^9 = 1409, pos=72)
 34:   304   (zeta^9 = 1409, pos=72)
 35:  1442   (zeta^9 = 1409, pos=72)
 36:  2619   (zeta^73 = 2662, pos=73)
 37:  1712   (zeta^73 = 2662, pos=73)
 38:  2169   (zeta^73 = 2662, pos=73)
 39:  2159   (zeta^73 = 2662, pos=73)
 40:  1479   (zeta^41 = 3281, pos=74)
 41:  2634   (zeta^41 = 3281, pos=74)
 42:  2864   (zeta^41 = 3281, pos=74)
 43:  2014   (zeta^41 = 3281, pos=74)
 44:  1679   (zeta^105 = 233, pos=75)
 45:  3200   (zeta^105 = 233, pos=75)
 46:   102   (zeta^105 = 233, pos=75)
 47:  1923   (zeta^105 = 233, pos=75)
 48:  1603   (zeta^25 = 756, pos=76)
 49:   558   (zeta^25 = 756, pos=76)
 50:   681   (zeta^25 = 756, pos=76)
 51:   316   (zeta^25 = 756, pos=76)
 52:   517   (zeta^89 = 2156, pos=77)
 53:   931   (zeta^89 = 2156, pos=77)
 54:  1732   (zeta^89 = 2156, pos=77)
 55:  1999   (zeta^89 = 2156, pos=77)
 56:  2024   (zeta^57 = 3015, pos=78)
 57:  1094   (zeta^57 = 3015, pos=78)
 58:  2276   (zeta^57 = 3015, pos=78)
 59:  2159   (zeta^57 = 3015, pos=78)
 60:  2187   (zeta^121 = 3050, pos=79)
 61:  1973   (zeta^121 = 3050, pos=79)
 62:  2637   (zeta^121 = 3050, pos=79)
 63:  2158   (zeta^121 = 3050, pos=79)
 64:  2373   (zeta^5 = 1703, pos=80)
 65:   198   (zeta^5 = 1703, pos=80)
 66:  2986   (zeta^5 = 1703, pos=80)
 67:   247   (zeta^5 = 1703, pos=80)
 68:  1482   (zeta^69 = 1651, pos=81)
 69:   449   (zeta^69 = 1651, pos=81)
 70:  1157   (zeta^69 = 1651, pos=81)
 71:  1290   (zeta^69 = 1651, pos=81)
 72:  1057   (zeta^37 = 2789, pos=82)
 73:  2220   (zeta^37 = 2789, pos=82)
 74:  1124   (zeta^37 = 2789, pos=82)
 75:  1019   (zeta^37 = 2789, pos=82)
 76:   400   (zeta^101 = 1789, pos=83)
 77:  2206   (zeta^101 = 1789, pos=83)
 78:  1225   (zeta^101 = 1789, pos=83)
 79:  2233   (zeta^101 = 1789, pos=83)
 80:  1376   (zeta^21 = 1847, pos=84)
 81:  2880   (zeta^21 = 1847, pos=84)
 82:  2664   (zeta^21 = 1847, pos=84)
 83:   614   (zeta^21 = 1847, pos=84)
 84:  1960   (zeta^85 = 952, pos=85)
 85:  1974   (zeta^85 = 952, pos=85)
 86:  2934   (zeta^85 = 952, pos=85)
 87:  2679   (zeta^85 = 952, pos=85)
 88:  2860   (zeta^53 = 1461, pos=86)
