  0:  1882   (zeta^1 = 17, pos=64)
  1:    86   (zeta^1 = 17, pos=64)
  2:   785   (zeta^1 = 17, pos=64)
  3:  3266   (zeta^1 = 17, pos=64)
  4:   977   (zeta^65 = 2761, pos=65)
  5:  1893   (zeta^65 = 2761, pos=65)
  6:  3149   (zeta^65 = 2761, pos=65)
  7:  2462   (zeta^65 = 2761, pos=65)
  8:   981   (zeta^33 = 583, pos=66)
  9:  1317   (zeta^33 = 583, pos=66)
 10:   912   (zeta^33 = 583, pos=66)
 11:  3125   (zeta^33 = 583, pos=66)
 12:  1498   (zeta^97 = 2649, pos=67)
 13:   181   (zeta^97 = 2649, pos=67)
 14:   974   (zeta^97 = 2649, pos=67)
 15:  2762   (zeta^97 = 2649, pos=67)
 16:   852   (zeta^17 = 1637, pos=68)
 17:  1697   (zeta^17 = 1637, pos=68)
 18:  1574   (zeta^17 = 1637, pos=68)
 19:  1898   (zeta^17 = 1637, pos=68)
 20:  2770   (zeta^81 = 723, pos=69)
 21:  2123   (zeta^81 = 723, pos=69)
 22:  1569   (zeta^81 = 723, pos=69)
 23:  1792   (zeta^81 = 723, pos=69)
 24:  1640   (zeta^49 = 2288, pos=70)
 25:   908   (zeta^49 = 2288, pos=70)
 26:  2588   (zeta^49 = 2288, pos=70)
 27:  1570   (zeta^49 = 2288, pos=70)
 28:  1959   (zeta^113 = 1100, pos=71)
 29:  3218   (zeta^113 = 1100, pos=71)
 30:    51   (zeta^113 = 1100, pos=71)
 31:   743   (zeta^113 = 1100, pos=71)
 32:   229   (zeta^9 = 1409, pos=72)
 33:  1192   (zeta^9 = 1409, pos=72)
 34:  2609   (zeta^9 = 1409, pos=72)
 35:  2156   (zeta^9 = 1409, pos=72)
 36:  1370   (zeta^73 = 2662, pos=73)
 37:  1412   (zeta^73 = 2662, pos=73)
 38:  1935   (zeta^73 = 2662, pos=73)
 39:  1243   (zeta^73 = 2662, pos=73)
 40:   743   (zeta^41 = 3281, pos=74)
 41:   558   (zeta^41 = 3281, pos=74)
 42:  2109   (zeta^41 = 3281, pos=74)
 43:  3080   (zeta^41 = 3281, pos=74)
 44:  2656   (zeta^105 = 233, pos=75)
 45:   360   (zeta^105 = 233, pos=75)
 46:  3263   (zeta^105 = 233, pos=75)
 47:  1278   (zeta^105 = 233, pos=75)
 48:  1965   (zeta^25 = 756, pos=76)
 49:  1318   (zeta^25 = 756, pos=76)
 50:  1755   (zeta^25 = 756, pos=76)
 51:  2885   (zeta^25 = 756, pos=76)
 52:  2187   (zeta^89 = 2156, pos=77)
 53:  1832   (zeta^89 = 2156, pos=77)
 54:  1727   (zeta^89 = 2156, pos=77)
 55:  2978   (zeta^89 = 2156, pos=77)
 56:  2607   (zeta^57 = 3015, pos=78)
 57:   207   (zeta^57 = 3015, pos=78)
 58:  1517   (zeta^57 = 3015, pos=78)
 59:   846   (zeta^57 = 3015, pos=78)
 60:  2107   (zeta^121 = 3050, pos=79)
 61:   334   (zeta^121 = 3050, pos=79)
 62:  2358   (zeta^121 = 3050, pos=79)
 63:   616   (zeta^121 = 3050, pos=79)
 64:  1630   (zeta^5 = 1703, pos=80)
 65:  1520   (zeta^5 = 1703, pos=80)
 66:  1601   (zeta^5 = 1703, pos=80)
 67:  2346   (zeta^5 = 1703, pos=80)
 68:  1627   (zeta^69 = 1651, pos=81)
 69:  3208   (zeta^69 = 1651, pos=81)
 70:  1682   (zeta^69 = 1651, pos=81)
 71:   750   (zeta^69 = 1651, pos=81)
 72:  1968   (zeta^37 = 2789, pos=82)
 73:   631   (zeta^37 = 2789, pos=82)
 74:  1332   (zeta^37 = 2789, pos=82)
 75:  2623   (zeta^37 = 2789, pos=82)
 76:  1879   (zeta^101 = 1789, pos=83)
 77:  1484   (zeta^101 = 1789, pos=83)
 78:  3233   (zeta^101 = 1789, pos=83)
 79:  1754   (zeta^101 = 1789, pos=83)
 80:  2807   (zeta^21 = 1847, pos=84)
 81:  2840   (zeta^21 = 1847, pos=84)
 82:  2232   (zeta^21 = 1847, pos=84)
 83:  1448   (zeta^21 = 1847, pos=84)
 84:   464   (zeta^85 = 952, pos=85)
 85:  2408   (zeta^85 = 952, pos=85)
 86:  1813   (zeta^85 = 952, pos=85)
 87:  1747   (zeta^85 = 952, pos=85)
 88:  2867   (zeta^53 = 1461, pos=86)
 89:  2974   (zeta^53 = 1461, pos=86)
 90:  1935   (zeta^53 = 1461, pos=86)
 91:   824   (zeta^53 = 1461, pos=86)
 92:  1446   (zeta^117 = 2687, pos=87)
 93:  1415   (zeta^117 = 2687, pos=87)
 94:  2307   (zeta^117 = 2687, pos=87)
 95:  1917   (zeta^117 = 2687, pos=87)
 96:   447   (zeta^13 = 939, pos=88)
 97:  3093   (zeta^13 = 939, pos=88)
 98:    39   (zeta^13 = 939, pos=88)
 99:  1060   (zeta^13 = 939, pos=88)
100:  2891   (zeta^77 = 2308, pos=89)
101:  1170   (zeta^77 = 2308, pos=89)
102:   962   (zeta^77 = 2308, pos=89)
103:  2088   (zeta^77 = 2308, pos=89)
104:   422   (zeta^45 = 2437, pos=90)
105:  1993   (zeta^45 = 2437, pos=90)
106:   191   (zeta^45 = 2437, pos=90)
107:   842   (zeta^45 = 2437, pos=90)
108:   451   (zeta^109 = 2388, pos=91)
109:   623   (zeta^109 = 2388, pos=91)
110:  3235   (zeta^109 = 2388, pos=91)
111:   536   (zeta^109 = 2388, pos=91)
112:   876   (zeta^29 = 733, pos=92)
113:  3120   (zeta^29 = 733, pos=92)
114:    87   (zeta^29 = 733, pos=92)
115:  2775   (zeta^29 = 733, pos=92)
116:  2888   (zeta^93 = 2337, pos=93)
117:  2305   (zeta^93 = 2337, pos=93)
118:  1412   (zeta^93 = 2337, pos=93)
119:  1419   (zeta^93 = 2337, pos=93)
120:  1677   (zeta^61 = 268, pos=94)
121:  1530   (zeta^61 = 268, pos=94)
122:  2289   (zeta^61 = 268, pos=94)
123:  2673   (zeta^61 = 268, pos=94)
124:   847   (zeta^125 = 641, pos=95)
125:   713   (zeta^125 = 641, pos=95)
126:   894   (zeta^125 = 641, pos=95)
127:  1957   (zeta^125 = 641, pos=95)
128:  2238   (zeta^3 = 1584, pos=96)
129:  1589   (zeta^3 = 1584, pos=96)
130:  2555   (zeta^3 = 1584, pos=96)
131:  2578   (zeta^3 = 1584, pos=96)
132:  2316   (zeta^67 = 2298, pos=97)
133:  1792   (zeta^67 = 2298, pos=97)
134:  1051   (zeta^67 = 2298, pos=97)
135:   500   (zeta^67 = 2298, pos=97)
136:  2435   (zeta^35 = 2037, pos=98)
137:  3097   (zeta^35 = 2037, pos=98)
138:  1784   (zeta^35 = 2037, pos=98)
139:   890   (zeta^35 = 2037, pos=98)
140:  2690   (zeta^99 = 3220, pos=99)
141:  3301   (zeta^99 = 3220, pos=99)
142:  2467   (zeta^99 = 3220, pos=99)
143:   798   (zeta^99 = 3220, pos=99)
144:  1920   (zeta^19 = 375, pos=100)
145:  1269   (zeta^19 = 375, pos=100)
146:  2270   (zeta^19 = 375, pos=100)
147:  2059   (zeta^19 = 375, pos=100)
148:  1654   (zeta^83 = 2549, pos=101)
149:   422   (zeta^83 = 2549, pos=101)
150:  2484   (zeta^83 = 2549, pos=101)
151:  1302   (zeta^83 = 2549, pos=101)
152:  2673   (zeta^51 = 2090, pos=102)
153:  1286   (zeta^51 = 2090, pos=102)
154:  1025   (zeta^51 = 2090, pos=102)
155:  2568   (zeta^51 = 2090, pos=102)
156:  1344   (zeta^115 = 1645, pos=103)
157:  1829   (zeta^115 = 1645, pos=103)
158:  2406   (zeta^115 = 1645, pos=103)
159:  2245   (zeta^115 = 1645, pos=103)
160:  1711   (zeta^11 = 1063, pos=104)
161:   263   (zeta^11 = 1063, pos=104)
162:  3166   (zeta^11 = 1063, pos=104)
163:   385   (zeta^11 = 1063, pos=104)
164:  1136   (zeta^75 = 319, pos=105)
165:   923   (zeta^75 = 319, pos=105)
166:   873   (zeta^75 = 319, pos=105)
167:  3020   (zeta^75 = 319, pos=105)
168:   193   (zeta^43 = 2773, pos=106)
169:  1178   (zeta^43 = 2773, pos=106)
170:   807   (zeta^43 = 2773, pos=106)
171:  2054   (zeta^43 = 2773, pos=106)
172:  2327   (zeta^107 = 757, pos=107)
173:  2228   (zeta^107 = 757, pos=107)
174:  3254   (zeta^107 = 757, pos=107)
175:  2802   (zeta^107 = 757, pos=107)
176:  1747   (zeta^27 = 2099, pos=108)
177:  2826   (zeta^27 = 2099, pos=108)
178:  1922   (zeta^27 = 2099, pos=108)
179:  3067   (zeta^27 = 2099, pos=108)
180:   890   (zeta^91 = 561, pos=109)
181:  1106   (zeta^91 = 561, pos=109)
182:  2318   (zeta^91 = 561, pos=109)
183:   369   (zeta^91 = 561, pos=109)
184:   409   (zeta^59 = 2466, pos=110)
185:  2486   (zeta^59 = 2466, pos=110)
186:   402   (zeta^59 = 2466, pos=110)
187:   293   (zeta^59 = 2466, pos=110)
188:   720   (zeta^123 = 2594, pos=111)
189:    39   (zeta^123 = 2594, pos=111)
190:  2140   (zeta^123 = 2594, pos=111)
191:  2186   (zeta^123 = 2594, pos=111)
192:  3156   (zeta^7 = 2804, pos=112)
193:  1944   (zeta^7 = 2804, pos=112)
194:  1050   (zeta^7 = 2804, pos=112)
195:   554   (zeta^7 = 2804, pos=112)
196:    81   (zeta^71 = 1092, pos=113)
197:  1237   (zeta^71 = 1092, pos=113)
198:  3165   (zeta^71 = 1092, pos=113)
199:   449   (zeta^71 = 1092, pos=113)
200:   733   (zeta^39 = 403, pos=114)
201:   315   (zeta^39 = 403, pos=114)
202:  2864   (zeta^39 = 403, pos=114)
203:    67   (zeta^39 = 403, pos=114)
204:   926   (zeta^103 = 1026, pos=115)
205:  1127   (zeta^103 = 1026, pos=115)
206:  2280   (zeta^103 = 1026, pos=115)
207:   941   (zeta^103 = 1026, pos=115)
208:  2005   (zeta^23 = 1143, pos=116)
209:  2104   (zeta^23 = 1143, pos=116)
210:  1391   (zeta^23 = 1143, pos=116)
211:   643   (zeta^23 = 1143, pos=116)
212:    78   (zeta^87 = 2150, pos=117)
213:  2417   (zeta^87 = 2150, pos=117)
214:  1575   (zeta^87 = 2150, pos=117)
215:  1726   (zeta^87 = 2150, pos=117)
216:  2492   (zeta^55 = 2775, pos=118)
217:  1324   (zeta^55 = 2775, pos=118)
218:    31   (zeta^55 = 2775, pos=118)
219:  2846   (zeta^55 = 2775, pos=118)
220:   913   (zeta^119 = 886, pos=119)
221:     6   (zeta^119 = 886, pos=119)
222:   327   (zeta^119 = 886, pos=119)
223:  1421   (zeta^119 = 886, pos=119)
224:  1783   (zeta^15 = 1722, pos=120)
225:  1029   (zeta^15 = 1722, pos=120)
226:  3071   (zeta^15 = 1722, pos=120)
227:  1358   (zeta^15 = 1722, pos=120)
228:  1878   (zeta^79 = 1212, pos=121)
229:   624   (zeta^79 = 1212, pos=121)
230:   576   (zeta^79 = 1212, pos=121)
231:   416   (zeta^79 = 1212, pos=121)
232:  1533   (zeta^47 = 1874, pos=122)
233:  2625   (zeta^47 = 1874, pos=122)
234:  2388   (zeta^47 = 1874, pos=122)
235:  3158   (zeta^47 = 1874, pos=122)
236:   643   (zeta^111 = 1029, pos=123)
237:  2520   (zeta^111 = 1029, pos=123)
238:  2218   (zeta^111 = 1029, pos=123)
239:  2684   (zeta^111 = 1029, pos=123)
240:   222   (zeta^31 = 2110, pos=124)
241:  1467   (zeta^31 = 2110, pos=124)
242:    36   (zeta^31 = 2110, pos=124)
243:  1391   (zeta^31 = 2110, pos=124)
244:   894   (zeta^95 = 2935, pos=125)
245:   372   (zeta^95 = 2935, pos=125)
246:   947   (zeta^95 = 2935, pos=125)
247:  2878   (zeta^95 = 2935, pos=125)
248:  2355   (zeta^63 = 885, pos=126)
249:  2904   (zeta^63 = 885, pos=126)
250:  2245   (zeta^63 = 885, pos=126)
251:  2831   (zeta^63 = 885, pos=126)
252:  2379   (zeta^127 = 2154, pos=127)
253:  2544   (zeta^127 = 2154, pos=127)
254:   436   (zeta^127 = 2154, pos=127)
255:    61   (zeta^127 = 2154, pos=127)
